art,klasse,ordnung,familie
1070918,1,108,10817
1120502,1,115,11503
1140103,1,119,11901
1160403,1,121,12110
1160434,1,121,12110
1160811,1,121,12113
2010202,2,204,20401
2010203,2,204,20401
2090720,2,207,20709
2120317,2,219,21905
2130206,2,244,24402
2130613,2,244,24408
2130704,2,244,24406
2130706,2,244,24406
2200101,2,239,23904
2200108,2,239,23904
2200115,2,239,23904
5050429,6,605,60504
21102338,2,207,20710
21103265,2,239,23904
50901190,1,121,12112
50901249,1,121,12110
50902102,1,113,11311
50903778,2,219,21901
50904621,1,113,11311
50906883,1,115,11514
50906969,1,108,10818
55009073,1,115,11508
55009118,2,219,21908
55013710,3,306,30601
55013733,1,115,11503
