art,klasse,ordnung,familie
2080117,2,234,23405
2080203,2,234,23408
2080207,2,234,23408
2080216,2,234,23408
2080231,2,234,23408
2080304,2,243,24303
2080305,2,243,24301
2080307,2,243,24303
2080313,2,243,24303
2150104,2,235,23501
2150207,2,235,23506
2150210,2,235,23507
2150211,2,235,23507
2150212,2,235,23506
2150217,2,235,23506
2150218,2,235,23507
2150226,2,235,23507
2150229,2,235,23507
2150233,2,235,23507
2150234,2,235,23506
21103039,2,235,23506
21103457,2,235,23505
50907046,2,234,23408
