art,klasse,ordnung,familie,behind_scenes
1070111,1,108,10802,0
1070114,1,108,10802,0
1070120,1,108,10802,0
1070609,1,108,10815,0
1070701,1,108,10815,0
1100505,1,113,11314,0
1100703,1,113,11312,0
1120121,1,115,11509,0
1120123,1,115,11509,0
1120818,1,115,11507,0
1120821,1,115,11507,0
1120823,1,115,11507,0
1120826,1,115,11507,0
1120905,1,115,11508,0
1120911,1,115,11508,0
1120921,1,115,11508,
1160426,1,121,12110,0
1160433,1,121,12110,0
1160438,1,121,12109,0
2010202,2,204,20401,0
2080119,2,234,23404,0
2080216,2,234,23408,0
2090603,2,207,20710,0
2130706,2,244,24406,0
2150233,2,235,23507,0
5030105,6,603,60301,0
5030201,6,603,60302,0
5050502,6,605,60505,0
5050611,6,605,60506,0
21103171,1,115,11509,0
50902219,2,235,23507,0
55011478,2,243,24303,
