art,klasse,ordnung,familie
1130101,1,115,11515
2020104,2,227,22701
2020105,2,227,22701
2020106,2,227,22701
2020111,2,227,22701
2110208,2,223,22319
4010906,5,507,50707
4060101,5,520,52003
4150104,5,552,55201
4150106,5,552,55201
4150107,5,552,55201
4150108,5,552,55201
4260401,5,552,55206
4260602,5,552,55203
21102287,5,514,51401
50901027,1,114,11401
50901168,5,552,55205
50901999,5,550,550059
50902616,5,552,55201
50902619,5,552,55205
50902785,5,552,55207
50902851,5,550,550071
50902860,5,552,55203
50903013,5,552,55203
50903050,5,552,55205
50903051,5,552,55205
50905747,3,301,30106
50906121,5,552,55205
50907451,5,552,55206
55003261,5,552,55201
55003264,5,552,55205
55003365,5,550,550058
55003408,5,552,55202
55003409,5,552,55203
55003412,5,552,55205
55003422,5,550,550130
55003453,5,552,55205
55003489,5,552,55205
55003917,5,550,550064
55003946,5,552,55205
55004000,5,552,55201
55004070,5,552,55204
55004112,5,552,55205
55004374,5,552,55204
55004430,5,552,55205
55004523,5,552,55202
55004627,5,552,55206
55004769,5,552,55206
55004788,5,552,55206
55004858,5,552,55203
55004914,5,528,52831
55005213,5,552,55203
55005221,5,552,55205
55005819,5,552,55204
55005867,5,520,52003
55007995,5,537,53701
55008047,1,115,11517
55008650,5,552,55206
55009436,5,552,55206
55009602,5,552,55204
55009761,5,552,55201
55009864,5,552,55205
55010063,5,552,55205
55010251,1,114,11403
55010437,5,552,55202
55010948,5,524,52409
55010952,5,552,55203
55011101,5,550,550119
55011227,5,552,55205
55011234,5,552,55205
55011240,5,550,550008
55011385,5,552,55206
55011445,5,552,55202
55011447,5,552,55202
55011697,5,552,55205
55011709,5,552,55205
55011825,5,528,52821
55011880,5,524,52402
55011894,5,552,55206
55012903,5,552,55205
55013009,5,552,55206
55013675,5,549,54911
55013676,5,552,55205
55013677,5,552,55205
55013678,5,552,55202
55013679,5,552,55204
55014808,5,550,550131
