art,klasse,ordnung,familie,behind_scenes
1030103,1,104,10403,0
1100101,1,113,11309,0
1120113,1,115,11509,0
1120404,1,115,11514,0
1160105,1,121,12101,0
1160413,1,121,12109,0
1160424,1,121,12110,0
1161003,1,121,12124,0
1161004,1,121,12124,0
2150104,2,235,23501,0
2150210,2,235,23507,0
2150225,2,235,23507,0
2150303,2,235,23505,0
21102517,4,403,40380,0
21102607,1,112,11201,0
21102609,1,112,11201,0
21102909,5,526,52601,0
21102973,1,121,12101,0
21103663,5,532,53201,0
50903691,2,234,23405,0
50904423,2,235,23506,
55005868,5,532,53201,
55006969,1,113,11304,
