art,klasse,ordnung,familie
3010903,3,301,30101
3060501,4,402,40204
4010601,5,506,50601
4010901,5,507,50707
4010906,5,507,50707
4020103,5,513,51303
4020204,5,514,51401
4020206,5,514,51401
4020401,5,514,51403
4020403,5,514,51403
4020501,5,513,51301
4070201,5,523,52302
4090103,5,528,52808
4100102,5,550,550009
4120502,5,527,52717
4231602,5,550,550122
4231603,5,550,550122
4231701,5,550,550059
4231801,5,550,550030
4260602,5,552,55203
21103017,5,550,550130
50901167,5,552,55206
50901173,5,550,550044
50901175,5,550,550044
50901176,5,550,550044
50901187,5,550,550030
50901198,5,550,550130
50901979,5,550,550006
50901999,5,550,550059
50902021,5,550,550130
50902229,5,550,550130
50902851,5,550,550071
50902922,5,550,550032
50903064,5,527,52717
50903080,5,528,52831
50903099,5,550,550049
50903295,5,550,550125
50903398,5,527,52717
50903460,5,550,550044
50903462,5,550,550009
50903574,6,615,61501
50905511,5,527,52718
50905631,5,550,550075
50906201,5,528,52806
50906607,5,544,54403
50906735,5,550,550072
50906739,5,550,550139
50907129,5,550,550049
55003224,5,526,52603
55003233,5,550,550058
55003263,5,550,550130
55003265,5,550,550125
55003268,5,550,550058
55003281,5,550,550074
55003298,5,550,550074
55003331,5,527,52718
55003365,5,550,550058
55003366,5,550,550058
55003372,5,550,550074
55003373,5,550,550074
55003380,5,550,550075
55003382,5,550,550072
55003403,5,550,550009
55003414,5,550,550140
55003422,5,550,550130
55003424,5,550,550130
55003430,5,550,550074
55003434,5,550,550075
55003444,5,552,55205
55003464,5,550,550074
55003475,5,550,550074
55003502,5,550,550058
55003508,5,550,550074
55003516,5,550,550074
55003533,5,550,550072
55003549,5,528,52822
55003589,5,550,550011
55003594,5,549,54903
55003613,5,550,550072
55003646,5,526,52601
55003647,5,550,550139
55003657,5,550,550059
55003672,5,550,550074
55003675,5,550,550074
55003679,5,550,550074
55003680,5,552,55201
55003682,5,550,550072
55003697,5,550,550074
55003720,5,526,52601
55003871,5,527,52717
55003874,5,550,550009
55003924,5,550,550002
55004048,5,550,550072
55004072,5,550,550074
55004148,5,550,550130
55004163,5,550,550075
55004441,5,550,550058
55004464,5,550,550075
55004504,5,550,550074
55004817,6,620,62001
55004896,5,550,550075
55006481,5,550,550075
55006586,5,550,550074
55006701,5,552,55201
55014303,5,550,550075
