art,klasse,ordnung,familie,behind_scenes
3010625,3,301,30105,0
3010825,3,301,30107,0
3030104,3,305,30506,0
3030106,3,305,30506,0
3030207,3,305,30504,0
3030210,3,305,30504,0
3030503,3,305,30528,0
3030504,3,305,30528,0
3030508,3,305,30528,0
3030513,3,305,30528,0
3030527,3,305,30528,0
3030537,3,305,30528,0
3030601,3,305,30524,0
3030613,3,305,30524,0
3030621,3,305,30524,0
3040402,3,303,30319,0
3041102,3,303,30344,0
3041113,3,303,30344,0
3041118,3,303,30344,0
3050101,3,306,30602,0
3050105,3,306,30602,0
3050106,3,306,30602,0
3050206,3,306,30601,0
3070502,4,403,40325,0
3070901,4,403,40307,0
4030102,5,553,55301,0
4090301,5,528,52825,0
4100401,5,550,550139,0
21102255,3,301,30112,0
21102265,3,301,30110,0
21103314,3,305,30528,
50901191,5,550,550072,
50901849,4,403,40323,
50902959,5,550,550072,
