art,klasse,ordnung,familie
1020101,1,102,10201
1020403,1,102,10207
1080201,1,109,10904
1100508,1,113,11316
1100703,1,113,11312
1120118,1,115,11509
1120303,1,115,11512
1150102,1,120,12001
1150106,1,120,12001
1150204,1,120,12002
1160602,1,121,12105
1160704,1,121,12112
1160804,1,121,12114
1160805,1,121,12114
1160806,1,121,12118
1160810,1,121,12116
1160813,1,121,12114
1160815,1,121,12116
1160836,1,121,12114
2010105,2,201,20101
2010202,2,204,20401
3010825,3,301,30107
3030101,3,305,30506
3030209,3,305,30504
3040305,3,303,30316
5050429,6,605,60504
21102329,1,121,12117
21102787,3,303,30330
50901653,3,305,30513
55005969,6,605,60504
