art,klasse,ordnung,familie,behind_scenes
2070404,2,206,20608,0
2070524,2,206,20607,0
2070525,2,206,20607,0
2070606,2,206,20609,0
2070803,2,206,20611,0
2070809,2,206,20611,0
5010109,6,601,60101,0
5020201,6,602,60204,0
5040112,6,604,60401,0
5040202,6,604,60402,0
5050408,6,605,60504,0
5050502,6,605,60505,0
5050613,6,605,60506,0
5050622,6,605,60506,0
5060102,6,606,60601,0
5060202,6,606,60602,0
5060210,6,606,60602,0
5060211,6,606,60602,0
5070102,6,607,60701,0
5080106,6,608,60801,0
21102565,6,606,60601,0
21102705,6,610,61002,0
21102955,1,113,11306,0
21103095,6,605,60501,0
21103172,6,606,60601,0
21103173,6,607,60702,0
50901010,6,609,60905,0
50901976,6,609,60904,0
50902173,6,607,60702,0
50904129,6,608,60801,0
50904611,6,605,60506,0
50904953,6,608,60801,0
50906470,6,606,60601,0
