art,klasse,ordnung,familie,behind_scenes
2130504,2,244,24415,0
3010807,3,301,30107,0
3040309,3,303,30316,0
3040527,3,303,30320,0
3040708,3,303,30332,0
3060408,4,402,40206,0
4010404,5,505,50506,0
4070211,5,523,52302,0
4100201,5,550,550075,0
4100401,5,550,550139,0
21102255,3,301,30112,0
21102257,3,301,30112,0
21102931,3,305,30513,0
50901167,5,552,55206,0
50901389,5,526,52601,0
50901746,5,520,52005,0
50902922,5,550,550032,0
50903053,5,523,52304,0
50904941,5,523,52302,0
50905496,5,526,52601,0
50905603,5,526,52601,0
50905700,5,528,52806,0
50906201,5,528,52806,0
50906492,5,514,51401,0
50906736,5,550,550099,0
50906737,5,550,550138,0
50907022,5,550,550002,0
50907685,5,550,550075,0
55003265,5,550,550125,0
55003285,5,550,550058,0
55003340,5,527,52718,0
55003364,5,550,550058,0
55003365,5,550,550058,0
55003372,5,550,550074,0
55003388,5,526,52601,0
55003417,5,550,550021,0
55003460,5,550,550058,0
55003461,5,550,550058,0
55003486,5,550,550021,0
55003495,5,550,550075,0
55003505,5,550,550058,0
55003558,5,550,550139,0
55003571,5,550,550058,0
55003659,5,550,550121,0
55003661,5,550,550074,0
55003833,5,550,550058,0
55003889,5,550,550075,0
55003900,5,526,52601,0
55003905,5,550,550139,0
55003980,5,550,550059,0
55004027,5,550,550066,0
55004112,5,552,55205,0
55004118,5,550,550058,0
55004188,5,552,55205,0
55004297,5,550,550058,0
55004299,5,550,550058,0
55004306,5,550,550058,0
55004453,5,550,550021,0
55004748,5,550,550074,0
55004897,5,526,52601,0
55005336,5,550,550059,0
55005618,5,550,550021,0
55005669,5,550,550021,0
55007228,5,550,550119,0
55008030,5,505,50506,0
55008132,5,550,550021,0
55008876,5,550,550075,0
55009774,5,550,550075,0
55009864,5,552,55205,0
55011863,5,550,550075,0
55012242,5,550,550119,
55012905,5,528,52803,
