art,klasse,ordnung,familie,behind_scenes
1120102,1,115,11509,0
1120113,1,115,11509,0
1120806,1,115,11507,0
1120807,1,115,11507,0
1160105,1,121,12101,0
1160411,1,121,12110,0
1160413,1,121,12109,0
1160421,1,121,12110,0
1160424,1,121,12110,0
1161019,1,121,12124,0
2150210,2,235,23507,0
5030102,6,603,60301,0
5040112,6,604,60401,0
5040202,6,604,60402,0
5040205,6,604,60402,0
5050301,6,605,60503,0
5050426,6,605,60504,0
5050501,6,605,60505,0
5050502,6,605,60505,0
5050524,6,605,60505,0
5050611,6,605,60506,0
5050613,6,605,60506,0
5050617,6,605,60506,0
5050627,6,605,60506,0
5070301,6,607,60703,0
21103172,6,606,60601,0
