art,klasse,ordnung,familie,behind_scenes
1100120,1,113,11309,0
1100139,1,113,11309,0
1100705,1,113,11312,0
1120121,1,115,11509,0
1120123,1,115,11509,0
1120212,1,115,11510,0
1120415,1,115,11514,0
1120420,1,115,11513,0
1120424,1,115,11514,0
1120430,1,115,11514,0
1120811,1,115,11507,0
1120821,1,115,11507,0
1120823,1,115,11507,0
1160426,1,121,12110,0
1160438,1,121,12109,0
1160704,1,121,12112,0
3010302,3,301,30103,0
3010616,3,301,30105,0
3030531,3,305,30528,0
21102313,1,115,11509,0
21102845,3,305,30517,0
21103171,1,115,11509,
50905481,3,305,30513,
50905840,3,301,30105,
