art,klasse,ordnung,familie
2080102,2,234,23404
2080116,2,234,23405
2080119,2,234,23404
2080203,2,234,23408
2080206,2,234,23412
2080208,2,234,23408
2080211,2,234,23410
2080216,2,234,23408
2080303,2,243,24303
2080304,2,243,24303
2080306,2,243,24303
2080307,2,243,24303
2080308,2,243,24303
2080314,2,243,24301
2080412,2,234,23414
2150104,2,235,23501
2150207,2,235,23506
2150210,2,235,23507
2150225,2,235,23507
2150226,2,235,23507
2150227,2,235,23503
2150234,2,235,23506
2150303,2,235,23505
21102713,2,243,24303
