art,klasse,ordnung,familie,behind_scenes
1020604,1,102,10213,0
1100505,1,113,11314,0
1100508,1,113,11316,0
1100706,1,113,11311,0
1120110,1,115,11509,0
1120508,1,115,11503,0
1120603,1,115,11504,0
1120703,1,115,11506,0
1120807,1,115,11507,0
1120905,1,115,11508,0
1120920,1,115,11508,0
1140101,1,119,11901,0
1150104,1,120,12001,0
1160201,1,121,12103,0
1160301,1,121,12104,0
1160411,1,121,12110,0
1160602,1,121,12105,0
1160704,1,121,12112,0
1160801,1,121,12116,0
1160906,1,121,12120,0
1161019,1,121,12124,0
2010105,2,201,20101,0
2010202,2,204,20401,0
2070507,2,206,20607,0
2080216,2,234,23408,0
2090603,2,207,20710,0
2130215,2,244,24402,0
2130508,2,244,24415,0
2130609,2,244,24408,0
2130622,2,244,24408,0
2130704,2,244,24406,0
2130709,2,244,24406,0
2130835,2,244,24407,0
2140218,2,214,21401,0
2150106,2,235,23501,0
2150211,2,235,23507,0
3010828,3,301,30107,0
5030105,6,603,60301,0
5030201,6,603,60302,0
5040112,6,604,60401,0
5040202,6,604,60402,0
5050115,6,605,60501,0
5050302,6,605,60503,0
5050303,6,605,60503,0
5050418,6,605,60504,0
5050429,6,605,60504,0
21102389,2,244,24402,0
21103605,6,604,60401,0
21103627,2,244,24405,0
50902216,2,244,24405,0
50905078,1,121,12124,0
55004248,6,602,60210,0
55005440,6,612,61204,0
