art,klasse,ordnung,familie,behind_scenes
2040105,2,231,23105,0
3010103,3,301,30112,0
3010104,3,301,30112,0
3010825,3,301,30107,0
3030101,3,305,30506,0
3030110,3,305,30506,0
3030424,3,305,30513,0
3030427,3,305,30513,0
3040104,3,303,30303,
3040125,3,303,30311,0
3040213,3,303,30310,0
3040402,3,303,30319,0
3040405,3,303,30319,0
3040504,3,303,30320,0
3040509,3,303,30320,0
3040512,3,303,30321,0
3040516,3,303,30324,0
3040708,3,303,30332,0
3040802,3,303,30343,0
3040901,3,303,30340,0
3050101,3,306,30602,0
3060501,4,402,40204,0
3070301,4,403,40328,0
3070316,4,403,40328,0
3070502,4,403,40325,0
3070702,4,403,40360,0
3070802,4,403,40336,0
3070803,4,403,40336,0
3070806,4,403,40336,0
3070808,4,403,40336,0
3070809,4,403,40336,0
4010104,5,504,50401,0
4010301,5,505,50504,0
4010401,5,505,50506,0
4010402,5,505,50506,0
4010404,5,505,50506,0
4010501,5,505,50508,0
4010502,5,505,50508,0
4010503,5,505,50507,0
4010601,5,506,50601,0
4010703,5,507,50702,0
4010705,5,507,50702,0
4010706,5,507,50702,0
4010901,5,507,50707,0
4010906,5,507,50707,0
4020104,5,513,51303,0
4020201,5,514,51401,0
4020303,5,514,51405,0
4020305,5,514,51405,0
4020402,5,514,51403,0
4040104,5,517,51701,0
4040107,5,517,51701,0
4060102,5,520,52001,0
4070204,5,523,52302,0
4070205,5,523,52302,0
4070211,5,523,52302,0
4070215,5,523,52302,0
4080102,5,526,52601,0
4080104,5,526,52601,0
4090301,5,528,52825,0
4090302,5,528,52825,0
4090401,5,528,52816,0
4100101,5,550,550009,0
4100103,5,550,550009,0
4100105,5,550,550009,0
4120502,5,527,52717,0
4150102,5,552,55201,0
4150105,5,552,55201,0
4150106,5,552,55201,0
4150108,5,552,55201,0
4230115,5,550,550009,0
4230602,5,550,550019,0
4230801,5,550,550007,0
4231101,5,550,550032,0
4231103,5,550,550032,0
4231202,5,550,550043,0
4231602,5,550,550122,0
4231603,5,550,550122,0
4231701,5,550,550059,0
4233301,5,550,550035,0
4260201,5,552,55202,0
21102528,4,403,40386,0
21102903,5,526,52601,0
21102909,5,526,52601,0
21102912,5,526,52601,0
21103012,5,550,550009,0
21103016,5,550,550130,0
21103019,5,550,550130,0
21103020,5,550,550130,0
21103028,5,550,550075,0
21103136,3,301,30113,0
21103213,5,526,52601,0
21103252,5,521,52102,0
21103303,3,305,30517,0
21103408,4,403,40336,0
21103437,4,403,40360,0
21103632,5,549,54908,0
21103634,5,526,52601,0
21103661,5,526,52601,0
50901066,5,550,550009,0
50901160,5,529,52902,0
50901167,5,552,55206,0
50901168,5,552,55205,0
50901171,5,552,55205,0
50901172,5,550,550043,0
50901179,5,550,550071,0
50901189,5,550,550030,0
50901194,5,550,550075,0
50901198,5,550,550130,0
50901382,5,550,550075,0
50901385,5,551,55102,0
50901386,5,551,55106,0
50901387,5,551,55106,0
50901572,4,403,40324,0
50901776,5,526,52601,0
50901827,5,550,550030,0
50901856,4,403,40386,0
50901902,4,403,40327,0
50901979,5,550,550006,0
50901987,5,550,550032,0
50901997,5,550,550059,0
50901999,5,550,550059,0
50902001,5,550,550059,0
50902002,5,550,550059,0
50902026,5,550,550030,0
50902041,5,521,52102,0
50902229,5,550,550130,0
50902324,5,550,550130,0
50902531,5,550,550059,0
50902532,5,550,550059,0
50902534,5,550,550043,0
50902543,3,303,30320,0
50902620,5,552,55205,0
50902639,5,550,550130,0
50902832,5,550,550030,0
50902851,5,550,550071,0
50902892,5,550,550043,0
50902922,5,550,550032,0
50902959,5,550,550072,0
50903023,5,550,550075,0
50903052,5,523,52304,0
50903053,5,523,52304,0
50903055,5,544,54403,0
50903064,5,527,52717,0
50903120,5,550,550130,0
50903261,5,550,550035,0
50903264,5,549,54905,0
50903294,5,550,550125,0
50903574,6,615,61501,0
50903911,5,526,52601,0
50903919,5,550,550072,0
50904006,5,550,550009,0
50905203,5,550,550032,0
50905494,5,526,52601,0
50905499,5,547,54705,0
50905506,5,542,54207,0
50905510,5,550,550021,0
50905511,5,527,52718,0
50905513,5,542,54207,0
50905528,5,541,54103,0
50905553,5,526,52603,0
50905562,5,550,550072,0
50905586,5,526,52601,0
50905631,5,550,550075,0
50905733,5,550,550072,0
50905767,5,550,550016,0
50906122,5,550,550124,0
50906189,6,615,61501,0
50906197,5,550,550072,0
50906392,5,550,550130,0
50906736,5,550,550099,0
50906762,5,550,550059,0
50906834,5,549,54903,0
50907071,3,303,30343,0
50907251,5,550,550009,0
50907658,5,550,550130,0
50907677,5,527,52718,0
50907686,5,550,550114,0
50907695,5,520,52002,0
55003214,5,527,52718,0
55003215,5,527,52718,0
55003222,5,526,52601,0
55003226,5,528,52831,0
55003233,5,550,550058,0
55003243,6,617,61701,0
55003248,5,550,550072,0
55003252,5,550,550072,0
55003254,5,527,52703,0
55003262,5,550,550130,0
55003263,5,550,550130,0
55003264,5,552,55205,0
55003265,5,550,550125,0
55003268,5,550,550058,0
55003269,5,550,550058,0
55003280,5,539,53902,0
55003281,5,550,550074,0
55003292,5,546,54601,0
55003298,5,550,550074,0
55003305,5,550,550059,0
55003309,5,550,550049,0
55003310,5,550,550009,0
55003314,5,526,52601,0
55003327,5,550,550072,0
55003335,5,552,55201,0
55003337,5,527,52718,0
55003338,5,527,52718,0
55003339,5,527,52718,0
55003349,5,527,52718,0
55003358,5,527,52711,0
55003364,5,550,550058,0
55003369,5,550,550074,0
55003370,5,550,550074,0
55003371,5,550,550074,0
55003372,5,550,550074,0
55003375,5,550,550074,0
55003380,5,550,550075,0
55003382,5,550,550072,0
55003392,5,550,550072,0
55003395,5,550,550119,0
55003403,5,550,550009,0
55003417,5,550,550021,0
55003422,5,550,550130,0
55003424,5,550,550130,0
55003431,5,550,550043,0
55003439,5,550,550130,0
55003444,5,552,55205,0
55003461,5,550,550058,0
55003472,5,550,550021,0
55003475,5,550,550074,0
55003486,5,550,550021,0
55003495,5,550,550075,0
55003509,5,550,550058,0
55003510,5,547,54703,0
55003523,5,550,550072,0
55003530,5,550,550050,0
55003531,5,550,550124,0
55003532,5,550,550054,0
55003533,5,550,550072,0
55003551,5,550,550072,0
55003552,5,550,550072,0
55003553,5,550,550072,0
55003559,5,550,550125,0
55003565,5,550,550125,0
55003573,5,550,550072,
55003583,6,615,61501,0
55003584,5,527,52708,0
55003587,5,549,54903,0
55003588,5,552,55205,0
55003589,5,550,550011,0
55003597,5,550,550119,0
55003609,5,542,54208,0
55003620,5,527,52713,0
55003624,5,528,52830,0
55003629,5,550,550072,0
55003657,5,550,550059,0
55003659,5,550,550121,0
55003679,5,550,550074,0
55003699,5,550,550074,0
55003710,5,550,550130,0
55003741,5,549,54903,0
55003744,5,528,52831,0
55003777,5,550,550072,0
55003786,6,620,62001,0
55003812,5,549,54903,0
55003814,5,552,55202,0
55003827,5,528,52831,0
55003838,5,528,52831,0
55003919,5,550,550009,0
55003922,5,550,550047,0
55003933,5,528,52825,0
55003963,5,550,550072,0
55003987,5,550,550089,0
55004009,5,550,550072,0
55004011,5,550,550072,0
55004048,5,550,550072,0
55004101,5,550,550075,0
55004103,5,550,550130,0
55004118,5,550,550058,0
55004120,5,527,52722,0
55004153,5,550,550075,0
