art,klasse,ordnung,familie,behind_scenes
1020604,1,102,10213,0
1070111,1,108,10802,0
1070403,1,108,10813,0
1070418,1,108,10813,0
1070420,1,108,10813,0
1070521,1,108,10809,0
1100505,1,113,11314,0
1100510,1,113,11314,0
1120603,1,115,11504,0
1120826,1,115,11507,0
1150102,1,120,12001,0
1160407,1,121,12108,0
1160412,1,121,12109,0
1160704,1,121,12112,0
1160906,1,121,12120,0
2010102,2,202,20201,0
2010104,2,201,20101,0
2010105,2,201,20101,0
2010202,2,204,20401,0
2090603,2,207,20710,0
2130704,2,244,24406,0
2130903,2,244,24405,0
2130908,2,244,24405,0
3010825,3,301,30107,0
3030114,3,305,30506,0
3030207,3,305,30504,0
3030209,3,305,30504,0
3040511,3,303,30324,0
3040512,3,303,30321,0
3040517,3,303,30324,0
3050106,3,306,30602,0
3070201,4,403,40371,0
3070803,4,403,40336,0
3070805,4,403,40336,0
5010108,6,601,60101,0
5010109,6,601,60101,0
5010111,6,601,60101,0
5020201,6,602,60204,0
5040209,6,604,60402,0
5050108,6,605,60501,0
5050301,6,605,60503,0
5050303,6,605,60503,0
5050304,6,605,60503,0
5050404,6,605,60504,0
5050413,6,605,60504,0
5050429,6,605,60504,0
5050430,6,605,60504,0
5050502,6,605,60505,0
5050503,6,605,60505,0
5050606,6,605,60506,0
5060102,6,606,60601,0
21103043,6,601,60101,0
21103095,6,605,60501,0
50901344,6,605,60506,0
50901732,6,604,60401,0
50902165,6,607,60702,0
50906369,6,601,60101,
55006592,6,607,60702,
