art,klasse,ordnung,familie
3010301,3,301,30103
3010625,3,301,30105
4020303,5,514,51405
4030102,5,553,55301
4030104,5,554,55401
4040103,5,517,51702
4040105,5,517,51701
4040107,5,517,51701
4050101,5,518,51801
4060101,5,520,52003
4060103,5,520,52001
4060201,5,520,52005
4060301,5,520,52007
4080101,5,526,52601
4080105,5,526,52601
4090102,5,528,52808
4090103,5,528,52808
4090201,5,528,52823
4090301,5,528,52825
4100401,5,550,550139
4100503,5,550,550005
4120101,5,529,52905
4120201,5,527,52704
4231102,5,550,550032
4250101,5,548,54802
4250102,5,548,54802
21102423,5,554,55402
21102912,5,526,52601
21102947,5,514,51405
21103031,5,518,51801
21103483,5,520,52001
50901160,5,529,52902
50901621,5,550,550141
50901746,5,520,52005
50901925,5,516,51601
50902041,5,521,52102
50902211,5,516,51601
50902535,5,527,52716
50902755,5,550,550139
50902768,5,528,52806
50902942,5,527,52717
50902959,5,550,550072
50902985,5,528,52803
50903028,5,526,52601
50903051,5,552,55205
50903058,5,550,550072
50903063,5,550,550072
50903064,5,527,52717
50903080,5,528,52831
50903560,5,528,52825
50903574,6,615,61501
50903913,5,527,52717
50903919,5,550,550072
50903997,5,528,52808
50904588,5,527,52719
50905177,5,550,550141
50905251,5,514,51401
50905494,5,526,52601
50905511,5,527,52718
50905517,5,541,54106
50905522,5,541,54103
50905523,5,541,54103
50905527,5,541,54103
50905528,5,541,54103
50905602,5,550,550141
50905603,5,526,52601
50905643,5,527,52709
50905678,5,526,52601
50905766,5,550,550036
50906121,5,552,55205
50906122,5,550,550124
50906201,5,528,52806
50906282,5,528,52819
50906491,5,526,52601
50906495,5,528,52812
50906576,5,526,52601
50906723,5,516,51601
50906726,5,526,52601
50906737,5,550,550138
50906739,5,550,550139
50907192,5,520,52001
50907335,5,520,52006
55003222,5,526,52601
55003224,5,526,52603
55003239,5,528,52830
55003240,5,528,52830
55003248,5,550,550072
55003254,5,527,52703
55003314,5,526,52601
55003318,5,527,52709
55003337,5,527,52718
55003388,5,526,52601
55003414,5,550,550140
55003416,5,550,550138
55003441,5,550,550072
55003497,5,527,52718
55003526,5,527,52718
55003532,5,550,550054
55003533,5,550,550072
55003549,5,528,52822
55003551,5,550,550072
55003552,5,550,550072
55003583,6,615,61501
55003595,5,527,52708
55003623,5,527,52718
55003626,5,527,52718
55003636,5,550,550072
55003637,5,528,52830
55003655,5,550,550118
55003719,5,526,52601
55003722,5,526,52601
55003726,5,526,52601
55003727,5,526,52601
55003749,5,541,54104
55003758,5,527,52709
55003762,5,550,550002
55003771,5,527,52722
55003785,5,550,550072
55003786,6,620,62001
55003796,5,528,52822
55003835,5,527,52717
55003843,5,541,54103
55003871,5,527,52717
55003872,5,527,52717
55003878,5,526,52601
55003882,5,526,52601
55003883,5,526,52601
55003900,5,526,52601
55003959,5,550,550072
55003963,5,550,550072
55003999,5,552,55205
55004055,5,541,54103
55004100,5,528,52803
55004120,5,527,52722
55004122,5,527,52718
55004137,5,528,52831
55004195,5,526,52601
55004343,6,615,61505
55004505,5,528,52822
55004580,5,550,550015
55004762,5,528,52831
55004785,5,528,52806
55004809,5,550,550119
55004817,6,620,62001
55004885,5,528,52803
55004892,5,550,550118
55004927,5,541,54104
55005016,5,550,550065
55005038,5,550,550118
55005146,5,526,52601
55005218,5,550,550118
55005384,5,550,550139
55005390,5,526,52601
55005396,5,520,52006
55005506,6,620,62010
55005525,5,528,52822
55005653,5,550,550072
55005834,5,543,54303
55005839,5,548,54801
55006201,5,528,52821
55006619,5,528,52803
55006737,5,550,550050
55006864,5,550,550072
55006908,5,528,52803
55007264,5,526,52601
55007443,6,620,62001
55007497,5,526,52601
55007506,5,539,53902
55007513,5,526,52605
55008303,6,616,61601
55008452,5,541,54103
55008820,5,528,52821
55008850,5,541,54103
55008974,5,526,52601
55009125,5,550,550139
55009130,5,526,52601
55009346,5,550,550141
55009504,5,541,54103
55009567,5,527,52709
55009575,5,550,550141
55011061,5,514,51401
55011067,5,526,52601
55011071,5,550,550015
55011076,5,526,52601
55011371,5,526,52601
55011712,5,550,550119
55011765,5,520,52001
55011778,6,621,62103
55011969,5,550,550118
55012087,5,523,52301
55012271,5,528,52820
55012759,5,520,52005
55013703,5,526,52601
55013794,5,520,52005
55013795,5,528,52820
55013796,5,526,52605
55013797,5,526,52601
55013798,5,526,52601
55013799,5,541,54103
55013800,5,541,54103
55013927,5,528,52803
55014006,5,528,52803
55014083,5,526,52601
55014286,5,526,52601
55014436,5,550,550002
55014437,5,528,52821
