art,klasse,ordnung,familie,behind_scenes
2020102,2,227,22701,0
2120114,2,219,21908,0
2130704,2,244,24406,0
2140212,2,214,21401,0
2220306,2,250,250024,0
2222316,2,250,250179,0
2222319,2,250,250159,0
2222344,2,250,250179,0
2222738,2,250,250151,0
3010104,3,301,30112,0
3010301,3,301,30103,0
3010401,3,301,30114,0
3010724,3,301,30106,0
3010725,3,301,30106,0
3030103,3,305,30506,0
3030207,3,305,30504,0
3030413,3,305,30511,0
3030415,3,305,30513,0
3030436,3,305,30513,0
3030513,3,305,30528,0
3040125,3,303,30311,0
3040509,3,303,30320,0
3040510,3,303,30320,0
3040717,3,303,30335,0
3040802,3,303,30343,0
3040804,3,303,30330,0
3040806,3,303,30343,0
3060416,4,402,40206,0
3070315,4,403,40328,0
3070502,4,403,40325,0
3070702,4,403,40360,0
3070802,4,403,40336,0
3070804,4,403,40336,0
3070808,4,403,40336,0
3070901,4,403,40307,0
3080101,4,401,40106,0
4010102,5,504,50401,0
4010702,5,507,50702,0
4020305,5,514,51405,0
4030102,5,553,55301,0
4050101,5,518,51801,0
4050102,5,518,51801,0
4060101,5,520,52003,0
4060103,5,520,52001,0
4090201,5,528,52823,0
4090301,5,528,52825,0
4120101,5,529,52905,0
4120502,5,527,52717,0
4231202,5,550,550043,0
21102461,3,301,30105,0
21102503,4,403,40328,0
21102510,3,305,30513,0
21102862,3,303,30310,0
21102927,3,305,30513,0
21103017,5,550,550130,0
21103020,5,550,550130,0
21103022,5,514,51401,0
21103026,5,514,51403,0
21103202,2,250,250179,0
21103252,5,521,52102,0
21103306,3,305,30504,0
21103495,5,507,50702,0
50901172,5,550,550043,0
50901198,5,550,550130,0
50901212,5,550,550059,0
50901523,2,250,250179,0
50901666,3,303,30328,0
50901754,4,402,40206,0
50902206,5,550,550077,0
50902229,5,550,550130,0
50902503,5,550,550130,0
50902532,5,550,550059,0
50902543,3,303,30320,0
50902659,4,402,40206,0
50902943,5,549,54917,0
50902982,5,550,550017,0
50903014,5,550,550090,0
50903016,5,549,54901,0
50903017,5,549,54901,0
50903018,5,549,54901,0
50903019,5,549,54901,0
50903052,5,523,52304,0
50903053,5,523,52304,0
50903128,5,550,550111,0
50903261,5,550,550035,0
50903292,5,528,52831,0
50903709,3,305,30504,0
50904525,3,303,30310,0
