art,klasse,ordnung,familie,behind_scenes
1020611,1,102,10213,0
1070119,1,108,10802,0
1070120,1,108,10802,0
1070406,1,108,10813,0
1070508,1,108,10812,0
1080102,1,109,10901,0
1080201,1,109,10904,0
1080304,1,110,11001,0
1120411,1,115,11514,0
1120502,1,115,11503,0
1140102,1,119,11901,0
1160411,1,121,12110,0
1160426,1,121,12110,0
1160602,1,121,12105,0
1160710,1,121,12112,0
1160804,1,121,12114,0
1160811,1,121,12113,0
1161016,1,121,12124,0
2010105,2,201,20101,0
2010202,2,204,20401,0
2130613,2,244,24408,0
3010825,3,301,30107,0
3030209,3,305,30504,0
3040305,3,303,30316,0
3040402,3,303,30319,0
3040511,3,303,30324,0
3040512,3,303,30321,0
3041001,3,303,30328,0
3050106,3,306,30602,0
5040202,6,604,60402,0
5050302,6,605,60503,0
5050303,6,605,60503,0
5050429,6,605,60504,0
21102845,3,305,30517,0
21103605,6,604,60401,0
50901527,1,120,12001,0
50902523,3,305,30513,0
50903567,6,604,60402,0
50904312,6,605,60504,0
50906749,6,605,60504,0
55005440,6,612,61204,0
55011282,6,605,60504,
55011283,6,605,60505,
