art,klasse,ordnung,familie
3010203,3,301,30110
3010301,3,301,30103
3010302,3,301,30103
3030101,3,305,30506
3030106,3,305,30506
3030204,3,305,30504
3030209,3,305,30504
3030210,3,305,30504
3030431,3,305,30513
3030504,3,305,30528
3030513,3,305,30528
3030527,3,305,30528
3030532,3,305,30528
3030609,3,305,30524
3030613,3,305,30524
3030708,3,305,30527
3030711,3,305,30527
3030714,3,305,30527
3040111,3,303,30303
3040806,3,303,30343
3050101,3,306,30602
3050105,3,306,30602
3050106,3,306,30602
3050206,3,306,30601
