art,klasse,ordnung,familie,behind_scenes
2070301,2,206,20603,0
2070404,2,206,20608,0
2070606,2,206,20609,0
2090505,2,207,20707,0
2090603,2,207,20710,0
2100307,2,220,22003,0
2100312,2,220,22003,0
2130508,2,244,24415,0
2130509,2,244,24415,0
5010109,6,601,60101,0
5020201,6,602,60204,0
5040112,6,604,60401,0
5040202,6,604,60402,0
5050503,6,605,60505,0
5060203,6,606,60602,0
5060210,6,606,60602,0
5060211,6,606,60602,0
5070206,6,607,60702,0
5070209,6,607,60702,0
21103090,6,607,60702,0
21103170,6,605,60501,0
21103173,6,607,60702,0
50901010,6,609,60905,0
50903201,6,605,60505,0
50904186,6,607,60701,0
50904611,6,605,60506,0
50904953,6,608,60801,0
50905919,6,605,60504,0
50905976,6,606,60602,0
55010010,6,609,60905,0
