art,klasse,ordnung,familie
3010302,3,301,30103
3010801,3,301,30107
3010807,3,301,30107
3010809,3,301,30107
3010811,3,301,30107
3010814,3,301,30107
3010815,3,301,30107
3010819,3,301,30107
3010821,3,301,30107
3010822,3,301,30107
3010823,3,301,30107
3010824,3,301,30107
3010825,3,301,30107
3010826,3,301,30107
3010827,3,301,30107
3010829,3,301,30107
3010830,3,301,30107
3010831,3,301,30107
3030209,3,305,30504
3030403,3,305,30513
3030419,3,305,30513
3040104,3,303,30303
3040123,3,303,30303
3050101,3,306,30602
3050102,3,306,30602
3050104,3,306,30602
3050105,3,306,30602
3050106,3,306,30602
3050201,3,306,30601
3050202,3,306,30601
3050206,3,306,30601
3050209,3,306,30601
3050210,3,306,30601
3050211,3,306,30601
3050214,3,306,30601
21102740,3,301,30107
21102965,3,301,30107
21103030,3,305,30504
21103154,3,301,30107
21103190,3,301,30107
50901411,3,301,30107
50901428,3,301,30107
50902742,3,301,30107
50903341,3,301,30107
50905717,3,301,30107
50905718,3,301,30107
50906668,3,301,30107
55008385,3,301,30107
55009426,3,301,30107
55009971,3,301,30107
